Id,Name,Age,Salary,Gender,Department,Position,Joining Date,Email,Phone Number
87,Ivy,35,70000,Other,IT,Director,25-03-2019,name@company.org,Not Provided
88,Jack,25,60000,Other,Marketing,Director,20-02-2020,Not Provided,123-456-7890
93,David,35,55000,Other,Finance,Analyst,15-01-2020,email@example.com,555-555-5555
96,Frank,30,61379,Male,HR,Clerk,12-01-2019,Not Provided,Not Provided
98,Bob,30,61379,Other,HR,Assistant,25-03-2019,email@example.com,098-765-4321
100,Alice,50,55000,Female,Sales,Clerk,15-01-2020,Not Provided,123-456-7890
102,David,35,58611,Male,Sales,Assistant,12-01-2019,user@domain.com,098-765-4321
104,Charlie,35,61304,Other,IT,Manager,12-01-2019,user@domain.com,Not Provided
107,Hannah,30,70000,Female,Marketing,Manager,12-01-2019,Not Provided,098-765-4321
108,Alice,35,55000,Male,Finance,Director,15-01-2020,name@company.org,098-765-4321
109,Charlie,30,50000,Female,Sales,Assistant,05-04-2018,user@domain.com,098-765-4321
113,David,30,55000,Female,Marketing,Manager,15-01-2020,Not Provided,098-765-4321
114,Eve,37,70000,Male,HR,Manager,20-02-2020,user@domain.com,Not Provided
117,Alice,40,70000,Other,IT,Director,12-01-2019,name@company.org,555-555-5555
120,Bob,35,70000,Female,IT,Analyst,20-02-2020,email@example.com,Not Provided
121,Frank,35,50000,Male,Marketing,Clerk,05-04-2018,Not Provided,098-765-4321
123,Frank,35,50000,Male,IT,Director,05-04-2018,email@example.com,Not Provided
124,Alice,35,65000,Female,IT,Clerk,12-01-2019,name@company.org,Not Provided
127,Jack,30,61379,Other,HR,Director,05-04-2018,user@domain.com,098-765-4321
129,David,50,50000,Female,Sales,Analyst,05-04-2018,user@domain.com,Not Provided
130,Grace,25,70000,Male,Marketing,Director,15-01-2020,email@example.com,123-456-7890
131,Grace,30,60000,Other,Sales,Analyst,12-01-2019,Not Provided,098-765-4321
133,Hannah,35,60167,Female,Finance,Analyst,25-03-2019,name@company.org,Not Provided
135,Alice,25,70000,Other,IT,Clerk,25-03-2019,Not Provided,555-555-5555
145,Grace,35,50000,Other,Finance,Director,05-04-2018,user@domain.com,Not Provided
147,Charlie,25,60167,Male,Finance,Director,12-01-2019,email@example.com,Not Provided
151,Bob,40,55000,Female,Finance,Manager,05-04-2018,user@domain.com,555-555-5555
152,Jack,35,55000,Female,Finance,Manager,05-04-2018,user@domain.com,123-456-7890
153,David,40,61304,Other,IT,Clerk,25-03-2019,email@example.com,123-456-7890
155,Alice,30,50000,Other,Marketing,Analyst,05-04-2018,email@example.com,555-555-5555
156,Jack,25,60000,Female,Marketing,Assistant,25-03-2019,Not Provided,555-555-5555
157,Alice,25,50000,Female,Sales,Analyst,15-01-2020,email@example.com,098-765-4321
162,Alice,30,50000,Other,Marketing,Manager,12-01-2019,user@domain.com,123-456-7890
163,Alice,30,55000,Female,Marketing,Clerk,15-01-2020,email@example.com,Not Provided
171,Ivy,40,65000,Male,Marketing,Assistant,20-02-2020,Not Provided,123-456-7890
172,Frank,35,70000,Female,Marketing,Director,25-03-2019,name@company.org,123-456-7890
174,Eve,25,70000,Female,Finance,Director,15-01-2020,name@company.org,555-555-5555
175,Bob,30,50000,Other,IT,Analyst,20-02-2020,user@domain.com,098-765-4321
180,Hannah,25,70000,Other,HR,Analyst,12-01-2019,user@domain.com,098-765-4321
188,Ivy,50,55000,Other,HR,Clerk,05-04-2018,email@example.com,123-456-7890
189,Charlie,35,65000,Other,HR,Director,12-01-2019,name@company.org,098-765-4321
190,Grace,50,58611,Male,Sales,Assistant,12-01-2019,name@company.org,555-555-5555
194,Ivy,40,55000,Other,Finance,Analyst,15-01-2020,Not Provided,Not Provided
200,Eve,50,50000,Other,HR,Analyst,05-04-2018,user@domain.com,123-456-7890
207,Charlie,34,50000,Other,IT,Assistant,20-02-2020,email@example.com,098-765-4321
210,Jack,35,70000,Female,Marketing,Assistant,12-01-2019,email@example.com,123-456-7890
213,Eve,25,60000,Male,Marketing,Manager,12-01-2019,Not Provided,098-765-4321
221,David,35,55000,Other,Sales,Assistant,20-02-2020,name@company.org,Not Provided
226,Grace,35,70000,Female,HR,Assistant,12-01-2019,user@domain.com,555-555-5555
231,Ivy,35,65000,Other,Marketing,Manager,12-01-2019,email@example.com,098-765-4321
232,Ivy,35,70000,Female,Marketing,Manager,12-01-2019,user@domain.com,555-555-5555
240,Grace,35,70000,Male,Finance,Assistant,12-01-2019,user@domain.com,123-456-7890
246,Alice,40,50000,Male,Marketing,Analyst,15-01-2020,user@domain.com,098-765-4321
247,Hannah,35,50000,Other,Finance,Manager,20-02-2020,email@example.com,Not Provided
253,Frank,25,60000,Male,Sales,Assistant,25-03-2019,name@company.org,Not Provided
260,Charlie,30,70000,Male,Finance,Manager,05-04-2018,user@domain.com,555-555-5555
263,Charlie,40,70000,Male,IT,Director,15-01-2020,email@example.com,123-456-7890
271,Charlie,35,60606,Other,Marketing,Assistant,12-01-2019,user@domain.com,123-456-7890
277,Frank,35,55000,Other,Marketing,Clerk,12-01-2019,user@domain.com,Not Provided
281,Jack,40,60606,Other,Marketing,Assistant,15-01-2020,email@example.com,555-555-5555
284,Bob,50,60000,Female,Sales,Clerk,25-03-2019,name@company.org,123-456-7890
285,Jack,35,50000,Male,Finance,Assistant,15-01-2020,name@company.org,Not Provided
290,Hannah,30,70000,Female,HR,Director,05-04-2018,Not Provided,555-555-5555
293,Alice,25,65000,Male,HR,Director,25-03-2019,user@domain.com,Not Provided
301,David,35,55000,Male,Marketing,Assistant,25-03-2019,user@domain.com,555-555-5555
321,Ivy,30,61379,Other,HR,Director,20-02-2020,name@company.org,555-555-5555
322,Hannah,40,55000,Other,Sales,Assistant,25-03-2019,name@company.org,555-555-5555
327,Frank,30,65000,Female,Sales,Manager,15-01-2020,Not Provided,555-555-5555
330,David,40,60000,Other,HR,Director,12-01-2019,email@example.com,098-765-4321
332,David,25,50000,Male,IT,Director,15-01-2020,name@company.org,123-456-7890
341,Grace,40,60000,Other,Finance,Clerk,15-01-2020,email@example.com,098-765-4321
343,Bob,50,60000,Male,IT,Manager,15-01-2020,name@company.org,Not Provided
362,Bob,40,60606,Other,Marketing,Director,15-01-2020,Not Provided,555-555-5555
364,David,35,55000,Other,HR,Analyst,20-02-2020,name@company.org,555-555-5555
367,Bob,35,65000,Male,Marketing,Analyst,20-02-2020,email@example.com,555-555-5555
410,Grace,30,61304,Other,IT,Manager,20-02-2020,user@domain.com,098-765-4321
413,Charlie,37,55000,Male,HR,Assistant,25-03-2019,name@company.org,123-456-7890
417,David,35,55000,Other,Finance,Assistant,15-01-2020,email@example.com,Not Provided
426,Hannah,50,65000,Male,Finance,Analyst,25-03-2019,Not Provided,123-456-7890
493,Charlie,35,70000,Other,HR,Director,15-01-2020,name@company.org,555-555-5555
497,Frank,35,60000,Other,HR,Clerk,25-03-2019,email@example.com,123-456-7890
515,Bob,50,65000,Male,HR,Director,05-04-2018,name@company.org,555-555-5555
519,Frank,39,58611,Other,Sales,Manager,20-02-2020,name@company.org,555-555-5555
525,Hannah,40,55000,Other,Sales,Manager,12-01-2019,email@example.com,123-456-7890
535,Alice,25,70000,Male,Finance,Director,12-01-2019,name@company.org,123-456-7890
574,Hannah,40,50000,Male,HR,Analyst,15-01-2020,email@example.com,555-555-5555
633,Jack,25,70000,Male,IT,Director,25-03-2019,name@company.org,555-555-5555
649,Eve,40,65000,Other,HR,Director,05-04-2018,user@domain.com,555-555-5555
655,Hannah,50,55000,Female,Marketing,Clerk,20-02-2020,name@company.org,123-456-7890
684,Eve,35,70000,Male,Finance,Manager,25-03-2019,user@domain.com,098-765-4321
